post_id,username,caption,hashtags,mentions,likes,comment_count
3831438516069128981_440115170,asianpaints,"For every cheer, every hope,
For Har Ghar that turns into a stadium
For all the colours of cricket that bring us together...
Presenting the Asian Paints Rang De India (Cricket Anthem)

​As the Official Colour Partner of India Home Cricket, Asian Paints celebrates every shade of belief and every moment of victory with the nation.​

​It's time to sing louder and colour every match in the shades of victory.​

Join us in cheering for Team India. Share the feeling.​

@sunidhichauhan5
@vishaldadlani 

(Asian Paints, Rang De India, Cricket Anthem, Official Colour Partner Of India Home Cricket, BCCI, Cricket Celebration, Anthem Song, Cricket Song)",,"@sunidhichauhan5, @vishaldadlani",97015,0
3831354974803311750_2091666763,indiancricketteam,"A performance built on Belief, Hard Work, and Mental Toughness 🫡

🎥 The 𝐈𝐦𝐩𝐚𝐜𝐭 𝐏𝐥𝐚𝐲𝐞𝐫 𝐨𝐟 𝐭𝐡𝐞 𝐌𝐚𝐭𝐜𝐡 for #INDvNAM goes to... 🥁

#TeamIndia | #MenInBlue | #T20WorldCup","#INDvNAM, #TeamIndia, #MenInBlue, #T20WorldCup",,966555,0
3831056236892715884_2091666763,indiancricketteam,"Caption in the image ✍️😉

#TeamIndia | #T20WorldCup | #MenInBlue | #INDvNAM","#TeamIndia, #T20WorldCup, #MenInBlue, #INDvNAM",,206304,0
3831053544619290187_2091666763,indiancricketteam,"Fire with the bat 🔥
Clinical with the ball 👌

Hardik Pandya is the Player of the Match for his all-round brilliance 🫡

#TeamIndia | #T20WorldCup | #MenInBlue | #INDvNAM","#TeamIndia, #T20WorldCup, #MenInBlue, #INDvNAM",,285264,0
3831045903604049466_2091666763,indiancricketteam,"Biggest win margin for #TeamIndia by runs in ICC Men's #T20WorldCup 💪

The #MenInBlue beat Namibia by 9️⃣3️⃣ runs to make it 2️⃣ victories in a row!

#INDvNAM","#TeamIndia, #T20WorldCup, #MenInBlue, #INDvNAM",,269088,0
3831043935511024291_376525195,icc,"A true team effort from India to outplay Namibia in all departments 👌

#T20WorldCup broadcast details in our bio 📺",#T20WorldCup,,322184,0
3831039402709942017_376525195,icc,"A beautiful yorker delivered by none other than Jasprit Bumrah! 😮‍💨

#T20WorldCup broadcast details in bio 📲",#T20WorldCup,,267975,0
3831037335513357080_2091666763,indiancricketteam,"Castled ⚡️⚡️

Jasprit Bumrah gets on the wicket-taking charts with a pinpoint yorker 🔥

#TeamIndia | #T20WorldCup | #MenInBlue | #INDvNAM","#TeamIndia, #T20WorldCup, #MenInBlue, #INDvNAM",,312462,0
3831026188772993985_2091666763,indiancricketteam,"Safe as houses 🏠

Jasprit Bumrah judges the skier to perfection to give Axar Patel his second breakthrough! 🤝

#TeamIndia | #T20WorldCup | #MenInBlue | #INDvNAM","#TeamIndia, #T20WorldCup, #MenInBlue, #INDvNAM",,267897,0
3831022698055710973_376525195,icc,"Varun Chakaravarthy disturbs JJ Smit’s defence claiming his third scalp of the match 👌

#T20WorldCup broadcast details in bio 📲",#T20WorldCup,,173365,0
3831021210494855613_2091666763,indiancricketteam,"Spin twins doing the trick! 🪄

2⃣ wickets for Varun Chakaravarthy, 1⃣ for vice-captain Axar Patel in back-to-back overs 🔥

Namibia 5⃣ down now! 👌

#TeamIndia | #T20WorldCup | #MenInBlue | #INDvNAM","#TeamIndia, #T20WorldCup, #MenInBlue, #INDvNAM",,111684,0
3831015035237884052_2091666763,indiancricketteam,"On target 🎯

Varun Chakaravarthy strikes straightaway ⚡️

Wicket no.2⃣ for #TeamIndia ✌️

#T20WorldCup | #MenInBlue | #INDvNAM","#TeamIndia, #T20WorldCup, #MenInBlue, #INDvNAM",,128556,0
3831005056476935051_2091666763,indiancricketteam,"There's the opening breakthrough ☝️

c Shivam Dube b Arshdeep Singh 👏

P.S. - Where have we seen that celebration before? 😉

#TeamIndia | #T20WorldCup | #MenInBlue | #INDvNAM","#TeamIndia, #T20WorldCup, #MenInBlue, #INDvNAM",,385788,0
3830990078902584945_2091666763,indiancricketteam,"Longest six challenge? 🤔

Accepted ✅

Hardik Pandya 🤝 Shivam Dube 😎

#TeamIndia | #T20WorldCup | #MenInBlue | #INDvNAM","#TeamIndia, #T20WorldCup, #MenInBlue, #INDvNAM",,633841,0
3830988615618967533_2091666763,indiancricketteam,"Innings Break!

On the back of a powerful batting show, #TeamIndia set a target of 2⃣1⃣0⃣ 🎯

Over to our bowlers 👉

#T20WorldCup | #MenInBlue | #INDvNAM","#TeamIndia, #T20WorldCup, #MenInBlue, #INDvNAM",,109114,0
3830987788385415913_376525195,icc,"Hardik Pandya at his explosive best 💪

#T20WorldCup broadcast details in our bio 📺",#T20WorldCup,,411041,0
3830981743688064935_2091666763,indiancricketteam,"Finishing touches, delivered 👊

Hardik Pandya with a fiery knock of 5️⃣2️⃣(28) 🔥

#TeamIndia | #T20WorldCup | #MenInBlue | #INDvNAM","#TeamIndia, #T20WorldCup, #MenInBlue, #INDvNAM",,234166,0
3830976624204502784_2091666763,indiancricketteam,"5⃣0⃣ partnership 🆙 off just 23 deliveries 🎇

Pure power on display from Hardik Pandya and Shivam Dube 👊

#TeamIndia | #T20WorldCup | #MenInBlue | #INDvNAM","#TeamIndia, #T20WorldCup, #MenInBlue, #INDvNAM",,99692,0
3830974300485249215_376525195,icc,"Shivam Dube dispatches a monstrous one to the stands in Delhi 🚀

#T20WorldCup broadcast details in bio 📺",#T20WorldCup,,444155,0
3830971018173280032_2091666763,indiancricketteam,"1️⃣5️⃣0️⃣ up for #TeamIndia 💙

Hardik Pandya and Shivam Dube at the crease for the final phase 💪

#T20WorldCup | #MenInBlue | #INDvNAM","#TeamIndia, #T20WorldCup, #MenInBlue, #INDvNAM",,153138,0
3830957420675921627_2091666763,indiancricketteam,"A blistering knock! 🔥

Ishan Kishan got to his half-century in style en route to 6️⃣1️⃣(24) 💪

#TeamIndia | #T20WorldCup | #MenInBlue | #INDvNAM","#TeamIndia, #T20WorldCup, #MenInBlue, #INDvNAM",,176585,0
3830952180296372279_376525195,icc,"Ishan Kishan went berserk with four biggies on the trot on his way to a rapid half-century 🔥

#T20WorldCup broadcast details in our bio 📺",#T20WorldCup,,229448,0
3830952304933606107_2091666763,indiancricketteam,"5⃣0⃣ up in a rollicking way 🔥

Ishan Kishan displaying power in the powerplay 💪

#TeamIndia 86/1 

#T20WorldCup | #MenInBlue | #INDvNAM","#TeamIndia, #T20WorldCup, #MenInBlue, #INDvNAM",,310007,0
3830925023276211869_2091666763,indiancricketteam,"Here is a look at #TeamIndia's Playing XI for our 2⃣nd match 🙌

𝐔𝐩𝐝𝐚𝐭𝐞: Abhishek Sharma is still recovering from his illness and was unavailable for selection. The BCCI medical team is closely monitoring his progress. 

#T20WorldCup | #MenInBlue | #INDvNAM","#TeamIndia, #T20WorldCup, #MenInBlue, #INDvNAM",,445073,0
3830923938838891316_2091666763,indiancricketteam,"🚨 Toss 🚨

#TeamIndia have been put into bat.

#T20WorldCup | #MenInBlue | #INDvNAM","#TeamIndia, #T20WorldCup, #MenInBlue, #INDvNAM",,146723,0
3830904052879721371_2091666763,indiancricketteam,"All set for Match No. 2⃣ 💪

All the best #TeamIndia 🇮🇳

💻 BCCI.tv
📱 Official BCCI App

#T20WorldCup | #MenInBlue | #INDvNAM","#TeamIndia, #T20WorldCup, #MenInBlue, #INDvNAM",,160550,0
3830845377294331176_2091666763,indiancricketteam,"Matchday Ready 💪

#TeamIndia is all set and raring to go for the #INDvNAM clash in Delhi 💙

#MenInBlue | #T20WorldCup","#TeamIndia, #INDvNAM, #MenInBlue, #T20WorldCup",,187494,0
3830813191034654958_2091666763,indiancricketteam,"9️⃣ straight victories in ICC Men's T20 World Cups for #TeamIndia 💙

Eyes now on the perfect 1⃣0⃣ tonight 💪

#MenInBlue | #T20WorldCup | #INDvNAM","#TeamIndia, #MenInBlue, #T20WorldCup, #INDvNAM",,275847,0
3830645553513047276_2091666763,indiancricketteam,"📍 Delhi 

 (𝗛𝗼𝗺𝗲) 𝗧𝗲𝗮𝗺; 𝗳𝘁. 𝗚𝗮𝘂𝘁𝗮𝗺 𝗚𝗮𝗺𝗯𝗵𝗶𝗿

💬 A winning dressing room is a smiling dressing room! 😊

#TeamIndia | #T20WorldCup | #MenInBlue | #INDvNAM","#TeamIndia, #T20WorldCup, #MenInBlue, #INDvNAM",,279926,0
3830224933766682233_2091666763,indiancricketteam,"Game Face 🔛

Next up ⏩ #INDvNAM tomorrow 💪

#TeamIndia | #T20WorldCup | #MenInBlue","#INDvNAM, #TeamIndia, #T20WorldCup, #MenInBlue",,203611,0
3830132465579803522_2091666763,indiancricketteam,"𝘽𝙖𝙘𝙠 𝙞𝙣 𝘽𝙡𝙪𝙚 with a big smile 😊

🎥 Washington Sundar is raring to go in the #T20WorldCup 🇮🇳

#TeamIndia | #MenInBlue | #INDvNAM","#T20WorldCup, #TeamIndia, #MenInBlue, #INDvNAM",,279267,0
3830067541595861559_2091666763,indiancricketteam,"2019 ➡️ 2026 

Times have changed since Bharti Fulmali played last for #TeamIndia

ONE thing that remained the same was her belief ✨

WATCH 🎥| #AUSvIND","#TeamIndia, #AUSvIND",,228608,0
3829997557729416035_2091666763,indiancricketteam,"The preps have begun for the multi-format series 😎🔝

Strength and Conditioning Coach Nicholas Lee takes us through #TeamIndia's Day 1 of Training in Sydney! ☀️

#AUSvIND","#TeamIndia, #AUSvIND",,104672,0
3829938749955021994_2091666763,indiancricketteam,"📍 New Delhi 

Fresh threads, same hunger 🧵

#TeamIndia putting in the work ahead of their next challenge 💪 

#T20WorldCup | #MenInBlue | #INDvNAM","#TeamIndia, #T20WorldCup, #MenInBlue, #INDvNAM",,651138,0
3829304643961386554_2091666763,indiancricketteam,"Raising the bar 🔝

#TeamIndia Captain Surya Kumar Yadav went past Virat Kohli's tally of 16 Player of the Match awards in T20Is with his match-winning knock vs USA 👏

#T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,233805,0
3828798973805726585_2091666763,indiancricketteam,"🚨 News 🚨

BCCI announces Annual Player Retainership for Team India Senior Men and Senior Women for the 2025-26 season

#TeamIndia

Head to story for details 🔗",#TeamIndia,,726869,0
3828701918190105065_2091666763,indiancricketteam,"Mumbai ✅ (for now) 😉
Hello New Delhi 👋

𝐓𝐫𝐚𝐯𝐞𝐥-𝐝𝐚𝐲 𝐏𝐎𝐕, 𝐟𝐭. #𝐓𝐞𝐚𝐦𝐈𝐧𝐝𝐢𝐚 

#T20WorldCup | #MenInBlue","#𝐓𝐞𝐚𝐦𝐈𝐧𝐝𝐢𝐚, #T20WorldCup, #MenInBlue",,552987,0
3828624569887969558_2091666763,indiancricketteam,"𝙏𝙤𝙪𝙘𝙝 (𝘿𝙤𝙬𝙣) 𝙐𝙣𝙙𝙚𝙧 ✈️

All smiles and good vibes as #TeamIndia arrive for an all-format series against Australia 😁✌️

#AUSvIND","#TeamIndia, #AUSvIND",,443539,0
3828544022366077565_2091666763,indiancricketteam,"Making his debut at an ICC event after 4⃣0⃣ years in the sport 🫡

Umpire Anantha Padmanabhan opens up about his incredible four-decade journey, the transition to umpiring, and why 𝙖𝙘𝙘𝙚𝙥𝙩𝙖𝙣𝙘𝙚 is the key to success!

#T20WorldCup",#T20WorldCup,,181316,0
3828223954247228314_376525195,icc,India's title success at the #U19WorldCup is still soaking in for skipper Ayush Mhatre 🏆 @wildislife_zen,#U19WorldCup,@wildislife_zen,452661,0
3828081129564210029_2091666763,indiancricketteam,"A winning start on the world stage ✅

🎬 Key moments from #TeamIndia's opening game at the #T20WorldCup 🙌

Which moment stood out for you the most? 🤔

#MenInBlue | #INDvUSA","#TeamIndia, #T20WorldCup, #MenInBlue, #INDvUSA",,82887,0
3828002375316241081_2091666763,indiancricketteam,"Making every opportunity count with character and grit 💪

🎥 And the 𝐈𝐦𝐩𝐚𝐜𝐭 𝐏𝐥𝐚𝐲𝐞𝐫 𝐨𝐟 𝐭𝐡𝐞 𝐌𝐚𝐭𝐜𝐡 goes to 🥁......

#TeamIndia | #MenInBlue | #T20WorldCup | #INDvUSA","#TeamIndia, #MenInBlue, #T20WorldCup, #INDvUSA",,836586,0
3827921014836404297_2091666763,indiancricketteam,"In 2023, it was the Fielding Medal 🥇
In 2026, we’re turning up the volume 🗣️

Say hello to 𝗧𝗵𝗲 𝗦𝗽𝗲𝗲𝗰𝗵
Every match, one player 👤
One mic 🎙️ 
No filters, no scripts.

Just RAW dressing room vibes 👌🏻

Episode 1 ft. Rinku Singh 🔥

#TeamIndia | #T20WorldCup | #MenInBlue | #INDvUSA | @rinkukumar12","#TeamIndia, #T20WorldCup, #MenInBlue, #INDvUSA",@rinkukumar12,638856,0
3827845013712345886_2091666763,indiancricketteam,"𝗥𝗶𝘀𝗶𝗻𝗴 𝘁𝗼 𝘁𝗵𝗲 𝗼𝗰𝗰𝗮𝘀𝗶𝗼𝗻, the Surya Kumar Yadav way 🫡

🎥 Hear from our captain himself after his Wankhede masterclass 🙌🇮🇳

#TeamIndia | #MenInBlue | #T20WorldCup | #INDvUSA | @surya_14kumar","#TeamIndia, #MenInBlue, #T20WorldCup, #INDvUSA",@surya_14kumar,789211,0
3827824218402755391_2091666763,indiancricketteam,"The smile of a World Cup-winning captain 😊🏆

Celebrations continue for Ayush Mhatre 👌

#U19WorldCup",#U19WorldCup,,1148791,0
3827773740583911619_376525195,icc,"An uncharted view of the #T20WorldCup from Rohit Sharma as he watches from the sidelines for the first time 🥹

Find out how you can watch via the link in our bio 📲",#T20WorldCup,,2637452,0
3827747288501184594_2091666763,indiancricketteam,"When the captain calls, you answer 👌

🎥 From comeback to World Cup impact, ft. Mohd. Siraj 😎 

#TeamIndia | #MenInBlue | #T20WorldCup | #INDvUSA | @mohammedsirajofficial","#TeamIndia, #MenInBlue, #T20WorldCup, #INDvUSA",@mohammedsirajofficial,2432843,0
3827433518691881452_2091666763,indiancricketteam,"Painting the ground with his masterful shot-making 🎨👏

One word for Captain Surya Kumar Yadav's match-winning knock? 👇

#TeamIndia | #MenInBlue | #T20WorldCup | #INDvUSA","#TeamIndia, #MenInBlue, #T20WorldCup, #INDvUSA",,143212,0
3827430289933428701_2091666763,indiancricketteam,"A captain’s knock to start the campaign 🫡

For his match-winning 84* (49), Surya Kumar Yadav is the Player of the Match as #TeamIndia begin the #T20WorldCup with a win! 👏

#MenInBlue | #INDvUSA","#TeamIndia, #T20WorldCup, #MenInBlue, #INDvUSA",,277935,0
3827428604007789663_2091666763,indiancricketteam,"A comprehensive victory ✌️

#TeamIndia are off the mark in the #T20WorldCup in fine fashion 👌👌

They win the #INDvUSA contest by 2⃣9⃣ runs 🙌

#MenInBlue","#TeamIndia, #T20WorldCup, #INDvUSA, #MenInBlue",,390163,0
3827426905717605199_376525195,icc,"Mohammed Siraj wraps it up in Mumbai as India begin their quest to defend the #T20WorldCup title with a win 👊

Tournament broadcast details in our bio 📺",#T20WorldCup,,657751,0
3827419769864015347_2091666763,indiancricketteam,"#TeamIndia continue to chip away at the wickets 🥳

Arshdeep Singh with his 2⃣nd wicket 😎

Tilak Varma with the catch 👏

#MenInBlue | #T20WorldCup | #INDvUSA","#TeamIndia, #MenInBlue, #T20WorldCup, #INDvUSA",,159400,0
3827414274562431057_2091666763,indiancricketteam,"2️⃣ in 2️⃣ for Axar Patel ✌️

#TeamIndia in control as we head into the final phase!

#MenInBlue | #T20WorldCup | #INDvUSA","#TeamIndia, #MenInBlue, #T20WorldCup, #INDvUSA",,196777,0
3827404635674336850_2091666763,indiancricketteam,"There's another breakthrough ☝️

🔝 work by Ishan Kishan behind the stumps as Varun Chakaravarthy strikes 🕸️

Wicket No. 4⃣ 👏

#TeamIndia | #MenInBlue | #T20WorldCup | #INDvUSA","#TeamIndia, #MenInBlue, #T20WorldCup, #INDvUSA",,174729,0
3827391828803213350_376525195,icc,"Arshdeep Singh gave India an early breakthrough to dismiss USA skipper Monank Patel 👊

#T20WorldCup broadcast details in our bio 📺",#T20WorldCup,,209692,0
3827388979922920451_376525195,icc,"Rohit Sharma. Wankhede. #T20WorldCup Trophy in hand. Fans roaring. Iconic ❤️

Don’t miss any action from the tournament. Broadcast details in bio 🔗",#T20WorldCup,,2208039,0
3827389515141316940_2091666763,indiancricketteam,"A successful powerplay 🙌

#TeamIndia pick 3⃣ wickets 👏

#MenInBlue | #T20WorldCup | #INDvUSA","#TeamIndia, #MenInBlue, #T20WorldCup, #INDvUSA",,272112,0
3827381664376993793_2091666763,indiancricketteam,"Up and running with the ball 👊

Mohd. Siraj and Arshdeep Singh strike early to give #TeamIndia a perfect start!

#MenInBlue | #T20WorldCup | #INDvUSA","#TeamIndia, #MenInBlue, #T20WorldCup, #INDvUSA",,196887,0
